group_image,individual_image,px_to_cm
A00000008920,beetle_194.png,240
A00000008920,beetle_446.png,240
A00000008920,beetle_452.png,240
A00000008920,beetle_711.png,240
A00000008920,beetle_316.png,240
A00000008920,beetle_166.png,240
A00000008920,beetle_607.png,240
A00000008920,beetle_609.png,240
A00000008920,beetle_173.png,240
A00000008920,beetle_308.png,240
A00000008920,beetle_585.png,240
A00000008920,beetle_170.png,240
A00000008920,beetle_451.png,240
A00000008920,beetle_457.png,240
A00000008920,beetle_304.png,240
A00000008920,beetle_658.png,240
A00000008920,beetle_613.png,240
A00000008920,beetle_690.png,240
A00000033588,beetle_167.png,325
A00000033588,beetle_400.png,325
A00000033588,beetle_251.png,325
A00000033588,beetle_420.png,325
A00000033588,beetle_282.png,325
A00000033588,beetle_161.png,325
A00000033588,beetle_417.png,325
A00000033588,beetle_277.png,325
A00000033588,beetle_283.png,325
A00000033588,beetle_253.png,325
A00000033588,beetle_22.png,325
A00000033588,beetle_263.png,325
A00000033588,beetle_426.png,325
A00000033588,beetle_423.png,325
A00000033588,beetle_19.png,325
A00000033588,beetle_21.png,325
A00000033588,beetle_704.png,325
A00000033588,beetle_278.png,325
A00000033588,beetle_124.png,325
A00000033588,beetle_137.png,325
A00000033588,beetle_123.png,325
A00000033588,beetle_405.png,325
A00000033588,beetle_149.png,325
A00000033588,beetle_708.png,325
A00000033588,beetle_416.png,325
A00000033588,beetle_413.png,325
A00000033588,beetle_706.png,325
A00000033588,beetle_136.png,325
A00000033588,beetle_25.png,325
A00000033588,beetle_705.png,325
A00000033588,beetle_276.png,325
A00000033588,beetle_17.png,325
A00000059783,beetle_521.png,271
A00000059783,beetle_687.png,271
A00000059783,beetle_695.png,271
A00000059783,beetle_239.png,271
A00000059783,beetle_723.png,271
A00000059783,beetle_696.png,271
A00000059783,beetle_685.png,271
A00000059783,beetle_218.png,271
A00000059783,beetle_532.png,271
A00000059783,beetle_526.png,271
A00000059783,beetle_527.png,271
A00000059783,beetle_214.png,271
A00000050033,beetle_351.png,273
A00000050033,beetle_565.png,273
A00000050033,beetle_557.png,273
A00000050033,beetle_239.png,273
A00000050033,beetle_355.png,273
A00000050033,beetle_563.png,273
A00000050033,beetle_564.png,273
A00000050033,beetle_354.png,273
A00000050033,beetle_543.png,273
A00000050033,beetle_359.png,273
A00000050033,beetle_249.png,273
A00000050033,beetle_241.png,273
A00000050033,beetle_250.png,273
A00000050033,beetle_370.png,273
A00000050033,beetle_344.png,273
A00000046124,beetle_791.png,247
A00000046124,beetle_1144.png,247
A00000046124,beetle_784.png,247
A00000046124,beetle_1182.png,247
A00000046124,beetle_429.png,247
A00000046124,beetle_1145.png,247
A00000046124,beetle_1186.png,247
A00000046124,beetle_448.png,247
A00000046124,beetle_44.png,247
A00000046124,beetle_780.png,247
A00000046124,beetle_1140.png,247
A00000046124,beetle_452.png,247
A00000046124,beetle_428.png,247
A00000046124,beetle_803.png,247
A00000046124,beetle_1147.png,247
A00000046124,beetle_450.png,247
A00000046124,beetle_438.png,247
A00000046124,beetle_1190.png,247
A00000046124,beetle_1164.png,247
A00000041436,beetle_378.png,261
A00000041436,beetle_521.png,261
A00000041436,beetle_554.png,261
A00000041436,beetle_51.png,261
A00000041436,beetle_387.png,261
A00000041436,beetle_536.png,261
A00000041436,beetle_537.png,261
A00000041436,beetle_557.png,261
A00000041436,beetle_14.png,261
A00000041436,beetle_297.png,261
A00000041436,beetle_257.png,261
A00000041436,beetle_535.png,261
A00000041436,beetle_530.png,261
A00000041436,beetle_533.png,261
A00000041436,beetle_375.png,261
A00000041436,beetle_390.png,261
A00000041436,beetle_296.png,261
A00000041436,beetle_286.png,261
A00000041436,beetle_376.png,261
A00000041436,beetle_552.png,261
A00000041436,beetle_295.png,261
A00000041436,beetle_526.png,261
A00000041436,beetle_370.png,261
A00000041436,beetle_60.png,261
A00000041436,beetle_32.png,261
A00000041436,beetle_280.png,261
A00000033691,beetle_71.png,422
A00000033691,beetle_87.png,422
A00000033691,beetle_270.png,422
