group_image,individual_image,px_to_cm
A00000040717,beetle_1586.png,275
A00000033651,beetle_50.png,349
A00000033651,beetle_90.png,349
A00000033651,beetle_49.png,349
A00000033651,beetle_189.png,349
A00000033651,beetle_186.png,349
A00000051625,beetle_805.png,354
A00000051625,beetle_736.png,354
A00000051625,beetle_1515.png,354
A00000051625,beetle_1659.png,354
A00000051625,beetle_1521.png,354
A00000069242,beetle_223.png,240
A00000069242,beetle_209.png,240
A00000050019,beetle_1037.png,395
A00000050019,beetle_1235.png,395
A00000050019,beetle_332.png,395
A00000050019,beetle_330.png,395
A00000050019,beetle_1234.png,395
A00000033674,beetle_251.png,397
A00000033674,beetle_189.png,397
A00000033674,beetle_186.png,397
A00000033674,beetle_253.png,397
A00000033674,beetle_177.png,397
A00000051166,beetle_81.png,341
A00000051166,beetle_317.png,341
A00000051166,beetle_386.png,341
A00000051166,beetle_245.png,341
A00000051166,beetle_171.png,341
A00000046298,beetle_332.png,248
A00000046298,beetle_112.png,248
A00000046298,beetle_672.png,248
A00000046298,beetle_1050.png,248
A00000046298,beetle_992.png,248
A00000032879,beetle_596.png,256
A00000032879,beetle_293.png,256
A00000032879,beetle_437.png,256
A00000032879,beetle_194.png,256
A00000032879,beetle_434.png,256
A00000034545,beetle_493.png,233
A00000034545,beetle_392.png,233
A00000034545,beetle_391.png,233
A00000034545,beetle_248.png,233
A00000034545,beetle_491.png,233
A00000051174,beetle_717.png,282
A00000051174,beetle_361.png,282
A00000051174,beetle_687.png,282
A00000051174,beetle_601.png,282
A00000051174,beetle_711.png,282
A00000040699,beetle_493.png,240
A00000040699,beetle_357.png,240
A00000040699,beetle_460.png,240
A00000040699,beetle_491.png,240
A00000040699,beetle_329.png,240
A00000041430,beetle_355.png,243
A00000041430,beetle_385.png,243
A00000041430,beetle_153.png,243
A00000041430,beetle_353.png,243
A00000041430,beetle_154.png,243
A00000046108,beetle_917.png,246
A00000046108,beetle_357.png,246
A00000046108,beetle_598.png,246
A00000046108,beetle_358.png,246
A00000046108,beetle_805.png,246
A00000051177,beetle_211.png,381
A00000051177,beetle_71.png,381
A00000051177,beetle_176.png,381
A00000051177,beetle_121.png,381
A00000051177,beetle_132.png,381
A00000046173,beetle_158.png,232
A00000046173,beetle_479.png,232
A00000046173,beetle_478.png,232
A00000046173,beetle_554.png,232
A00000046173,beetle_420.png,232
A00000059784,beetle_301.png,270
A00000059784,beetle_617.png,270
